ID,Achievement_ID,Type,Asset_ID,Quantity,Start_event,Start_asset,Fail_event,Fail_asset,Description_lang,Flags,Timer_start_event,Timer_asset_ID,Timer_time,Ui_order,WorldStateID,RequiredWorldStateStatus,AdditionalConditionType[0],AdditionalConditionType[1],AdditionalConditionType[2],AdditionalConditionValue[0],AdditionalConditionValue[1],AdditionalConditionValue[2]
34,6,5,0,10,0,0,0,0,Reach level 10,2,0,0,0,1,0,0,0,0,0,0,0,0
35,7,5,0,20,0,0,0,0,Reach level 20,2,0,0,0,1,0,0,0,0,0,0,0,0
36,8,5,0,30,0,0,0,0,Reach level 30,2,0,0,0,1,0,0,0,0,0,0,0,0
37,9,5,0,40,0,0,0,0,Reach level 40,2,0,0,0,1,0,0,0,0,0,0,0,0
38,10,5,0,50,0,0,0,0,Reach level 50,2,0,0,0,1,0,0,0,0,0,0,0,0
39,11,5,0,60,0,0,0,0,Reach level 60,2,0,0,0,1,0,0,0,0,0,0,0,0
40,12,5,0,70,0,0,0,0,Reach level 70,2,0,0,0,1,0,0,0,0,0,0,0,0
41,13,5,0,80,0,0,0,0,Reach level 80,2,0,0,0,1,0,0,0,0,0,0,0,0
72,31,10,0,5,2,0,2,0,Complete a daily quest every day for five consecutive days,1,0,0,0,1,0,0,0,0,0,0,0,0
73,32,9,0,2000,0,0,0,0,Complete 2000 quests,1,0,0,0,1,0,0,0,0,0,0,0,0
74,33,11,3537,130,0,0,0,0,Complete 130 quests in Boren Tundra,3,0,0,0,1,0,0,0,0,0,0,0,0
75,34,11,495,130,0,0,0,0,Complete 130 quests in Howling Fjord,1,0,0,0,1,0,0,0,0,0,0,0,0
76,35,11,65,115,0,0,0,0,Complete 115 quests in Dragonblight,1,0,0,0,1,0,0,0,0,0,0,0,0
77,36,11,66,100,0,0,0,0,Complete 100 Zul'Drak Quests,1,0,0,0,1,0,0,0,0,0,0,0,0
78,37,11,394,85,0,0,0,0,Complete 85 quests in Grizzly Hills,1,0,0,0,1,0,0,0,0,0,0,0,0
79,38,11,67,100,0,0,0,0,Complete 100 Storm Peaks Quests,1,0,0,0,1,0,0,0,0,0,0,0,0
80,39,11,3711,75,0,0,0,0,Complete 75 Sholazar Basin quests.,1,0,0,0,1,0,0,0,0,0,0,0,0
81,40,11,210,140,0,0,0,0,Complete 140 Icecrown Glacier quests,1,0,0,0,1,0,0,0,0,0,0,0,0
82,41,8,33,1,0,0,0,0,Nothing Boring About Borean,0,0,0,0,1,0,0,0,0,0,0,0,0
94,46,8,42,1,0,0,0,0,Eastern Kingdoms,0,0,0,0,1,0,0,0,0,0,0,0,0
100,49,1,30,0,0,0,0,0,Alterac Valley victories,0,0,0,0,1,0,0,0,0,0,0,0,0
102,51,1,529,0,0,0,0,0,Arathi Basin victories,0,0,0,0,1,0,0,0,0,0,0,0,0
104,53,15,30,0,0,0,0,0,Alterac Valley battles,0,0,0,0,1,0,0,0,0,0,0,0,0
105,54,15,566,0,0,0,0,0,Eye of the Storm battles,0,0,0,0,1,0,0,0,0,0,0,0,0
106,55,15,529,0,0,0,0,0,Arathi Basin battles,0,0,0,0,1,0,0,0,0,0,0,0,0
107,56,16,489,0,0,0,0,0,Deaths in Warsong Gulch,0,0,0,0,1,0,0,0,0,0,0,0,0
108,57,16,30,0,0,0,0,0,Deaths in Alterac Valley,0,0,0,0,1,0,0,0,0,0,0,0,0
110,59,16,529,0,0,0,0,0,Arathi Basin Deaths,0,0,0,0,1,0,0,0,0,0,0,0,0
111,60,17,0,0,0,0,0,0,Total deaths,0,0,0,0,1,0,0,0,0,0,0,0,0
123,73,30,122,3,3,529,3,529,Assault 3 bases in a single Arathi Basin battle,10,0,0,0,1,0,0,0,0,0,0,0,0
140,105,1,489,0,0,0,0,0,Warsong Gulch Victories,0,0,0,0,1,0,0,0,0,0,0,0,0
