ID,InternalName,Bounds[0],Bounds[1],Bounds[2],Bounds[3],Bounds[4],Bounds[5],Flags,EncounterID,WorldStateID,MapID
1,Doug Test,-20,-20,-20,20,20,20,3,0,0,451
2,Doug Test 2,190,-350,540,320,-150,600,0,2135,0,1861
3,Nazmir Raid - Red Queen,-160,-320,690,0,-180,750,0,2141,0,1861
4,Nazmir Raid - Disc Boss,140,0,680,355,400,780,0,2136,0,1861
5,Nazmir Raid - Vectis,500,-350,680,750,-150,780,0,2134,0,1861
6,Nazmir Raid - Chimaera,180,-800,690,325,-500,770,0,2128,0,1861
7,8.1 Zuldazar Raid - Paladin Boss,-685.445,1030.85,310,-566.624,1154.74,350,0,2265,0,2070
8,8.1 Zuldazar Raid - Big Monkey,-988.492,888.623,330,-800.907,978.373,420,0,2263,0,2070
9,8.1 Zuldazar Raid - Duo Boss (H),-953.01,699.797,330,-850.284,888,450,0,2266,0,2070
10,8.1 Zuldazar Raid - Rastakhan,-1310.12,726,340,-1103.8,908,450,0,2272,0,2070
11,8.1 Zuldazar Raid - Treasure Guardian,-1280,600,120,-975,1020,200,0,2271,0,2070
12,8.1 Zuldazar Raid - Loa Council,-1300,685,190,-960,950,290,0,2268,0,2070
13,8.1 Zuldazar Raid - Mekkatorque,-1700,700,100,-1500,900,200,0,2276,0,2070
14,8.1 Zuldazar Raid - Big Monkey (A),-1700,700,100,-1500,900,200,0,2284,0,2070
15,8.1 Zuldazar Raid - Duo (A),-1950,700,45,-1750,950,145,0,2285,0,2070
16,8.1 Zuldazar Raid - Sea Priest,-2575,500,0,-2000,1100,150,2,2280,0,2070
17,Doug Test - dougland,10,10,-20,30,30,20,3,0,0,451
18,8.1 Shrine Raid - Kthir Fight,3466.22,-1900,45,3773.26,-1600,115,0,2269,0,2096
19,8.1 Shrine Raid - Herald,3300,-1200,-400,3700,-950,-300,0,2273,0,2096
20,8.3 N'Zoth Raid - Wrathion,-1900,-150,-1500,-1650,100,-1400,0,2329,0,2217
21,8.3 N'Zoth Raid - Prophet,-1600,-700,-550,-1350,-350,-450,0,2334,0,2217
22,8.3 N'Zoth Raid - Obsidian Destroyer,-1650,350,-600,-1350,600,-450,0,2327,0,2217
23,8.3 N'Zoth Raid - Cultist Boss,-650,-500,-300,-350,-250,-200,0,2328,0,2217
24,8.3 N'Zoth Raid - Vexiona,-700,-600,-200,-350,-200,0,0,2336,0,2217
25,8.3 N'Zoth Raid - Bug Duo,-350,150,-300,-200,300,-250,0,2333,0,2217
26,8.3 N'Zoth Raid - Ra-Den the Despoiled,-450,50,-250,-100,350,-100,0,2331,0,2217
27,8.3 N'Zoth Raid - Worm Boss,-600,100,-500,-400,300,-400,0,2343,0,2217
28,8.3 N'Zoth Raid - Worm Boss 2,-800,-100,-450,-550,100,-350,0,2343,0,2217
29,8.3 N'Zoth Raid - Elemental,-450,-100,-500,-250,200,-400,0,2345,0,2217
