ID,Description
0,Old Item
1,Old PvP Currency
2,Item Refund
3,Quest Reward
4,Cheat
5,Vendor
6,PvP Credit (Honorable Kills)
7,PvP Meta Credit
8,PvP Credit (scripted awards)
9,Loot
10,Updating Version
11,LFG Reward
12,Trade
13,Spell
14,Item Deletion
15,Rated Battleground
16,Random Battleground
17,Arena
18,Exceeded Max Qty
19,PvP Completion (random/holiday bonus)
20,Script Call
21,Guild Bank Withdrawal
22,Push Loot
23,Garrison Building
24,PvP Dropped
25,Garrison Follower Activation
26,Garrison Building Refund
27,Garrison Mission Reward
28,Garrison Resource Over Time
29,Quest Reward (Ignore Caps)
30,Garrison Talent
31,Garrison World Quest Bonus
32,PVP Honor Reward
33,Bonus Roll
34,Azerite Respec
35,Quest Reward - World Quest Only
36,Quest Reward (Ignore Caps) - World Quest Only
37,Faction conversion
38,Quest Reward - Daily Quest
39,Quest Reward - Daily Quest (War Mode)
40,Quest Reward - Weekly Quest
41,Quest Reward - Weekly Quest (War Mode)
42,Account Copy
43,Weekly Reward Chest
44,Garrison Talent Tree Reset
45,Daily Reset
46,Add Soulbind Conduit to Collection
47,Barber Shop
48,Convert Items to Currency Value
49,PvP Team Contribution
50,Transmogrify
51,Auction Deposit
52,Last
