ID,WeaponSubClassCost[0],WeaponSubClassCost[1],WeaponSubClassCost[2],WeaponSubClassCost[3],WeaponSubClassCost[4],WeaponSubClassCost[5],WeaponSubClassCost[6],WeaponSubClassCost[7],WeaponSubClassCost[8],WeaponSubClassCost[9],WeaponSubClassCost[10],WeaponSubClassCost[11],WeaponSubClassCost[12],WeaponSubClassCost[13],WeaponSubClassCost[14],WeaponSubClassCost[15],WeaponSubClassCost[16],WeaponSubClassCost[17],WeaponSubClassCost[18],WeaponSubClassCost[19],WeaponSubClassCost[20],ArmorSubClassCost[0],ArmorSubClassCost[1],ArmorSubClassCost[2],ArmorSubClassCost[3],ArmorSubClassCost[4],ArmorSubClassCost[5],ArmorSubClassCost[6],ArmorSubClassCost[7]
1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0
2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0
3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0
4,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0
5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0
6,0,0,3,3,0,0,0,0,0,0,3,0,0,0,2,1,1,3,3,2,0,0,1,1,1,1,0,2,0
7,0,0,3,3,0,0,0,0,0,0,3,0,0,0,2,1,1,3,3,2,0,0,1,1,1,1,0,2,0
8,0,0,3,3,0,0,0,0,0,0,3,0,0,0,2,1,1,3,3,2,0,0,2,2,2,2,0,2,0
9,0,0,3,3,0,0,0,0,0,0,3,0,0,0,2,1,1,3,3,2,0,0,2,2,2,2,0,2,0
10,0,0,4,4,0,0,0,0,0,0,4,0,0,0,3,2,1,4,4,3,0,0,2,2,2,2,0,3,0
11,0,0,4,4,0,0,0,0,0,0,4,0,0,0,3,2,1,4,4,3,0,0,2,2,2,2,0,3,0
12,0,0,4,4,0,0,0,0,0,0,4,0,0,0,3,2,1,4,4,3,0,0,3,3,3,3,0,3,0
13,0,0,4,4,0,0,0,0,0,0,4,0,0,0,3,2,1,4,4,3,0,0,3,3,3,3,0,3,0
14,0,0,6,6,0,0,0,0,0,0,6,0,0,0,4,3,1,6,6,4,0,0,3,3,3,3,0,4,0
15,0,0,6,6,0,0,0,0,0,0,6,0,0,0,4,3,1,6,6,4,0,0,3,3,3,3,0,4,0
16,0,0,6,6,0,0,0,0,0,0,6,0,0,0,4,3,1,6,6,4,0,0,4,4,4,4,0,4,0
17,0,0,6,6,0,0,0,0,0,0,6,0,0,0,4,3,1,6,6,4,0,0,4,4,4,4,0,4,0
18,0,0,7,7,0,0,0,0,0,0,7,0,0,0,5,3,1,7,7,5,0,0,4,4,4,4,0,5,0
19,0,0,7,7,0,0,0,0,0,0,7,0,0,0,5,3,1,7,7,5,0,0,4,4,4,4,0,5,0
20,0,0,7,7,0,0,0,0,0,0,7,0,0,0,5,3,1,7,7,5,0,0,5,5,5,5,0,5,0
21,0,0,7,7,0,0,0,0,0,0,7,0,0,0,5,3,1,7,7,5,0,0,5,5,5,5,0,5,0
22,0,0,9,9,0,0,0,0,0,0,9,0,0,0,6,4,1,9,9,6,0,0,5,5,5,5,0,6,0
23,0,0,9,9,0,0,0,0,0,0,9,0,0,0,6,4,1,9,9,6,0,0,5,5,5,5,0,6,0
24,0,0,9,9,0,0,0,0,0,0,9,0,0,0,6,4,1,9,9,6,0,0,6,6,6,6,0,6,0
25,0,0,10,10,0,0,0,0,0,0,10,0,0,0,7,5,1,10,10,7,0,0,6,6,6,6,0,7,0
26,0,0,10,10,0,0,0,0,0,0,10,0,0,0,7,5,1,10,10,7,0,0,6,6,6,6,0,7,0
