ID,Value,Index,Flags,EnumID
5,Deny,0,0,2
7,Navigate,1,0,2
8,Resource Load,2,0,2
9,XHeader,3,0,2
10,Referer,4,0,2
11,Set Cookie,5,0,2
12,Get Cookie,6,0,2
13,Persistent Cookie,7,0,2
14,Navigate External,8,0,2
15,Change Scheme HTTP,9,0,2
16,Change Scheme HTTPS,10,0,2
17,Ticket JS,11,0,2
18,deDE,0,0,3
19,enGB,1,0,3
20,PvP Only,0,0,4
21,enUS,2,0,3
22,esES,3,0,3
23,frFR,4,0,3
24,koKR,5,0,3
25,zhCN,6,0,3
26,zhTW,7,0,3
27,enCN,8,0,3
28,enTW,9,0,3
29,esMX,10,0,3
30,ruRU,11,0,3
31,Unused,12,0,3
32,ptBR,13,0,3
33,itIT,14,0,3
34,ptPT,15,0,3
35,Win32,0,0,5
36,Mac OS,1,0,5
43,Infinite Area of Interest,0,0,7
44,Show on map,1,0,7
45,Ping minimap,2,0,7
46,Test visibility rules,3,0,7
47,Vertical range is absolute,4,0,7
48,Unique,5,0,7
366,Server Only,0,0,105
378,Is Self Mount,1,0,105
589,Warrior,0,0,119
590,Paladin,1,0,119
591,Hunter,2,0,119
592,Rogue,3,0,119
593,Priest,4,0,119
594,Death Knight,5,0,119
595,Shaman,6,0,119
596,Mage,7,0,119
597,Warlock,8,0,119
598,Monk,9,0,119
599,Druid,10,0,119
600,Human,0,0,120
601,Orc,1,0,120
602,Dwarf,2,0,120
603,Night Elf,3,0,120
604,Undead,4,0,120
605,Tauren,5,0,120
606,Gnome,6,0,120
607,Troll,7,0,120
608,Goblin,8,0,120
609,Blood Elf,9,0,120
610,Draenei,10,0,120
611,Fel Orc,11,4,120
612,Naga,12,4,120
613,Broken,13,4,120
614,Skeleton,14,4,120
615,Vrykul,15,4,120
616,Tuskarr,16,4,120
617,Forest Troll,17,4,120
618,Taunka,18,4,120
619,Northrend Skeleton,19,4,120
620,Ice Troll,20,4,120
621,Worgen,21,0,120
622,Gilnean,22,4,120
623,Pandaren(N),23,4,120
624,Pandaren(A),24,0,120
625,Pandaren(H),25,0,120
630,Shown in the store in the glue screens,0,0,122
631,Can purchase in the store in the glue screens,1,0,122
632,Shown in the store in the world,2,0,122
633,Can purchase in the store in the world,3,0,122
634,North America,0,0,123
635,Korea,1,0,123
636,Europe,2,0,123
637,Taiwan,3,0,123
638,China,4,0,123
639,Public Tournaments,5,0,123
640,PTR,6,0,123
641,Beta,7,0,123
642,Dev,8,0,123
643,QA,9,0,123
644,BL,10,0,123
761,All,0,0,128
762,One,1,0,128
763,None,0,0,129
764,Linear,1,0,129
765,Quadratic,2,0,129
766,Logarithmic,3,0,129
767,Geometric,4,0,129
768,+,0,0,130
769,-,1,0,130
770,*,2,0,130
771,/,3,0,130
809,DEPRECATED FLAG 1,4,0,122
2101,Proc Failure Burns Charge,0,0,134
2102,Uses Ranged Slot,1,0,134
2103,On Next Swing (No Damage),2,0,134
2104,Do Not Log Immune Misses,3,0,134
2105,Is Ability,4,0,134
2106,Is Tradeskill,5,0,134
2107,Passive,6,0,134
2108,"Do Not Display (Spellbook, Aura Icon, Combat Log)",7,0,134
2109,Do Not Log,8,0,134
2110,Held Item Only,9,0,134
2111,On Next Swing,10,0,134
2112,Wearer Casts Proc Trigger,11,0,134
2113,Server Only,12,0,134
2114,Allow Item Spell In PvP,13,0,134
2115,Only Indoors,14,0,134
2116,Only Outdoors,15,0,134
2117,Not Shapeshifted,16,0,134
2118,Only Stealthed,17,0,134
2119,Do Not Sheath,18,0,134
2120,Scales w/ Creature Level,19,0,134
2121,Cancels Auto Attack Combat,20,0,134
2122,No Active Defense,21,0,134
2123,Track Target in Cast (Player Only),22,0,134
2124,Allow Cast While Dead,23,0,134
2125,Allow While Mounted,24,0,134
2126,Cooldown On Event,25,0,134
2127,Aura Is Debuff,26,0,134
2128,Allow While Sitting,27,0,134
2129,Not In Combat (Only Peaceful),28,0,134
2130,No Immunities,29,0,134
2131,Heartbeat Resist,30,0,134
2132,No Aura Cancel,31,0,134
2133,Dismiss Pet First,32,0,134
2134,Use All Mana,33,0,134
2135,Is Channelled,34,0,134
2136,No Redirection,35,0,134
2137,No Skill Increase,36,0,134
2138,Allow While Stealthed,37,0,134
2139,Is Self Channelled,38,0,134
2140,No Reflection,39,0,134
2141,Only Peaceful Targets,40,0,134
2142,Initiates Combat (Enables Auto-Attack),41,0,134
2143,No Threat,42,0,134
2144,Aura Unique,43,0,134
2145,Failure Breaks Stealth,44,0,134
2146,Toggle Far Sight,45,0,134
2147,Track Target in Channel,46,0,134
2148,Immunity Purges Effect,47,0,134
2149,Immunity to Hostile & Friendly Effects,48,0,134
2150,No AutoCast (AI),49,0,134
2151,Prevents Anim,50,0,134
2152,Exclude Caster,51,0,134
2153,Finishing Move - Damage,52,0,134
2154,Threat only on Miss,53,0,134
2155,Finishing Move - Duration,54,0,134
2156,Ignore Owner's Death,55,0,134
2157,Special Skillup,56,0,134
2158,Aura Stays After Combat,57,0,134
