ID,Quality[0],Quality[1],Quality[2],Quality[3],Quality[4],Quality[5],Quality[6],ItemLevel
1,0.5199684,0.7797972,0.9435888,1.5754452,2.811186,2.811186,2.811186,1
2,0.571872,0.857808,1.038072,1.7951808,2.9905176,2.9905176,2.9905176,2
3,0.6290592,0.9435888,1.1418792,2.0111868,3.17016,3.17016,3.17016,3
4,0.6918408,1.038072,1.2559428,2.2250173,3.3482485,3.3482485,3.3482485,4
5,0.7111104,1.1418792,1.381506,2.4332533,3.5266476,3.5266476,3.5266476,5
6,0.82362,1.2559428,1.519812,2.6299896,3.7069116,3.7069116,3.7069116,6
7,0.9451428,1.381506,1.6717932,2.811186,3.8946347,3.8946347,3.8946347,7
8,1.0772328,1.519812,1.8390036,2.9905176,4.090128,4.090128,4.090128,8
9,1.2065256,1.6717932,2.0226865,3.17016,4.2971206,4.2971206,4.2971206,9
10,1.3351969,1.8390036,2.2250173,3.3482485,4.515924,4.515924,4.515924,10
11,1.4601384,2.0226865,2.4332533,3.5266476,4.7465377,4.7465377,4.7465377,11
12,1.5779316,2.2250173,2.6299896,3.7069116,4.9858537,4.9858537,4.9858537,12
13,1.6867115,2.4332533,2.811186,3.8946347,5.227345,5.227345,5.227345,13
14,1.7942483,2.6299896,2.9905176,4.090128,5.469769,5.469769,5.469769,14
15,1.902096,2.811186,3.17016,4.2971206,5.709085,5.709085,5.709085,15
16,2.0090113,2.9905176,3.3482485,4.515924,5.937834,5.937834,5.937834,16
17,2.1159265,3.17016,3.5266476,4.7465377,6.1563263,6.1563263,6.1563263,17
18,2.2240849,3.3482485,3.7069116,4.9858537,6.3661165,6.3661165,6.3661165,18
19,2.3365943,3.5266476,3.8946347,5.227345,6.567826,6.567826,6.567826,19
20,2.4540768,3.7069116,4.090128,5.469769,6.7620754,6.7620754,6.7620754,20
21,2.578086,3.8946347,4.2971206,5.709085,6.957258,6.957258,6.957258,21
22,2.7095544,4.090128,4.515924,5.937834,7.173575,7.173575,7.173575,22
23,2.8478603,4.2971206,4.7465377,6.1563263,7.417242,7.417242,7.417242,23
24,2.99145,4.515924,4.9858537,6.3661165,7.686084,7.686084,7.686084,24
25,3.1362827,4.7465377,5.227345,6.567826,7.9881816,7.9881816,7.9881816,25
26,3.282048,4.9858537,5.469769,6.7620754,8.322291,8.322291,8.322291,26
27,3.4253268,5.227345,5.709085,6.957258,8.6632395,8.6632395,8.6632395,27
28,3.5627005,5.469769,5.937834,7.173575,9.015375,9.015375,9.015375,28
29,3.693858,5.709085,6.1563263,7.417242,9.378079,9.378079,9.378079,29
30,3.819732,5.937834,6.3661165,7.686084,9.747621,9.747621,9.747621,30
31,3.9406333,6.1563263,6.567826,7.9881816,10.122756,10.122756,10.122756,31
32,4.0571833,6.3661165,6.7620754,8.322291,10.477068,10.477068,10.477068,32
33,4.174355,6.567826,6.957258,8.6632395,10.801543,10.801543,10.801543,33
34,4.3039584,6.7620754,7.173575,9.015375,11.098046,11.098046,11.098046,34
35,4.450345,6.957258,7.417242,9.378079,11.365335,11.365335,11.365335,35
36,4.6116505,7.173575,7.686084,9.747621,11.604029,11.604029,11.604029,36
37,4.7928467,7.417242,7.9881816,10.122756,11.842102,11.842102,11.842102,37
38,4.993313,7.686084,8.322291,10.477068,12.082039,12.082039,12.082039,38
39,5.19813,7.9881816,8.6632395,10.801543,12.325396,12.325396,12.325396,39
40,5.409163,8.322291,9.015375,11.098046,12.565955,12.565955,12.565955,40
41,5.6267233,8.6632395,9.378079,11.365335,12.804028,12.804028,12.804028,41
42,5.8486342,9.015375,9.747621,11.604029,13.044276,13.044276,13.044276,42
43,6.0736537,9.378079,10.122756,11.842102,13.284214,13.284214,13.284214,43
44,6.2862406,9.747621,10.477068,12.082039,13.522597,13.522597,13.522597,44
45,6.4808016,10.122756,10.801543,12.325396,13.7644,13.7644,13.7644,45
46,6.65889,10.477068,11.098046,12.565955,14.00931,14.00931,14.00931,46
47,6.819263,10.801543,11.365335,12.804028,14.25391,14.25391,14.25391,47
48,6.9625416,11.098046,11.604029,13.044276,14.500374,14.500374,14.500374,48
49,7.105199,11.365335,11.842102,13.284214,14.747149,14.747149,14.747149,49
50,7.2490993,11.604029,12.082039,13.522597,14.991438,14.991438,14.991438,50
51,7.395175,11.842102,12.325396,13.7644,15.236037,15.236037,15.236037,51
52,7.539697,12.082039,12.565955,14.00931,15.481569,15.481569,15.481569,52
53,7.6823545,12.325396,12.804028,14.25391,15.729898,15.729898,15.729898,53
54,7.8265657,12.565955,13.044276,14.500374,15.981647,15.981647,15.981647,54
55,7.970466,12.804028,13.284214,14.747149,16.239922,16.239922,16.239922,55
56,8.113745,13.044276,13.522597,14.991438,16.500683,16.500683,16.500683,56
57,8.258577,13.284214,13.7644,15.236037,16.766106,16.766106,16.766106,57
58,8.422058,13.545596,14.036971,16.282812,18.528652,18.528652,18.528652,58
59,8.588958,13.813817,14.314826,16.517155,18.719484,18.719484,18.719484,59
60,8.752749,14.077065,14.587708,16.831995,19.076283,19.076283,19.076283,60
61,8.919338,14.345284,14.865564,17.067892,19.270222,19.270222,19.270222,61
62,9.08313,14.608532,15.138447,17.38118,19.623913,19.623913,19.623913,62
63,9.249719,14.876442,15.415991,17.61832,19.820648,19.820648,19.820648,63
64,9.413199,15.139689,15.688873,17.930052,20.171541,20.171541,20.171541,64
65,9.580099,15.40791,15.966728,18.169058,20.371386,20.371386,20.371386,65
66,9.592531,15.428112,15.987552,17.64132,20.397804,20.397804,20.397804,66
67,9.604963,15.448003,16.008375,17.664318,20.424532,20.424532,20.424532,67
68,9.617395,15.468205,16.0292,17.687317,20.45095,20.45095,20.45095,68
69,9.630138,15.488718,16.050333,17.710627,20.477991,20.477991,20.477991,69
70,9.64257,15.508609,16.071157,17.733627,20.504719,20.504719,20.504719,70
71,9.655313,15.528811,16.09198,17.756626,20.531137,20.531137,20.531137,71
72,9.667745,15.549013,16.113115,17.779936,20.558176,20.558176,20.558176,72
73,9.680488,15.569526,16.134249,17.803246,20.585217,20.585217,20.585217,73
74,9.69292,15.589728,16.155073,17.826244,20.611635,20.611635,20.611635,74
75,9.705663,15.60993,16.176208,17.849554,20.638674,20.638674,20.638674,75
76,9.718405,15.630443,16.197342,17.872866,20.665714,20.665714,20.665714,76
77,9.731148,15.650955,16.218477,17.896175,20.692442,20.692442,20.692442,77
78,9.743891,15.671158,16.23961,17.919485,20.719482,20.719482,20.719482,78
79,9.756323,15.69167,16.260746,17.942795,20.746521,20.746521,20.746521,79
80,9.769377,15.712183,16.28219,17.966415,20.773872,20.773872,20.773872,80
81,9.782119,15.732696,16.303326,17.989725,20.80091,20.80091,20.80091,81
82,9.794551,15.753209,16.32446,18.013346,20.82764,20.82764,20.82764,82
83,9.807605,15.773722,16.345905,18.036966,20.85499,20.85499,20.85499,83
84,9.820348,15.794545,16.36735,18.060589,20.882341,20.882341,20.882341,84
85,9.833091,15.814747,16.388483,18.648932,20.90938,20.90938,20.90938,85
86,9.845833,15.83557,16.40993,19.239141,20.936731,20.936731,20.936731,86
87,9.858887,15.856395,16.431374,19.264317,20.96408,20.96408,20.96408,87
88,9.87163,15.876907,16.45282,19.8567,20.991432,20.991432,20.991432,88
89,9.884684,15.897731,16.474264,20.45095,21.018782,21.018782,21.018782,89
90,9.897426,15.918243,16.49571,20.47737,21.046133,21.046133,21.046133,90
91,9.910169,15.939067,16.517155,20.371075,20.371075,20.371075,20.371075,91
92,10.074271,16.202625,16.790348,21.267733,20.707983,20.707983,20.707983,92
93,10.24086,16.470535,17.067892,20.921812,20.371386,20.371386,20.371386,93
94,10.57093,17.001692,17.61832,21.47224,20.921812,20.921812,20.921812,94
95,10.735032,17.265251,17.891512,21.805418,21.246288,21.246288,21.246288,95
96,10.90131,17.533161,18.169058,21.472551,21.472551,21.472551,21.472551,96
97,11.23169,18.064318,18.719484,21.47224,21.47224,21.47224,21.47224,97
98,11.395793,18.328186,18.992989,21.786148,22.344656,22.344656,22.344656,98
99,11.562071,18.595785,19.270222,21.472551,22.022978,22.022978,22.022978,99
100,11.616461,18.683432,19.360975,22.126785,22.126785,22.126785,22.126785,100
101,11.670851,18.770765,19.451418,22.23028,22.785992,22.785992,22.785992,101
102,11.725241,18.8581,19.542171,22.333776,22.892284,22.892284,22.892284,102
103,11.779942,18.946056,19.633236,22.437895,23.559883,23.559883,23.559883,103
104,11.834642,19.034014,19.7243,23.105494,23.669285,23.669285,23.669285,104
105,11.892451,19.126944,19.820648,22.573404,23.674568,23.674568,23.674568,105
106,11.946841,19.214588,19.911402,22.6769,23.783037,23.783037,23.783037,106
107,12.001542,19.302235,20.002466,22.780708,24.447529,24.447529,24.447529,107
108,12.056554,19.390812,20.094152,22.885136,24.559416,24.559416,24.559416,108
109,12.111566,19.4797,20.18615,22.989876,24.671926,24.671926,24.671926,109
110,12.167198,19.56859,20.278458,23.094927,25.348227,25.348227,25.348227,110
111,12.222832,19.658411,20.371386,22.573715,24.776043,24.776043,24.776043,111
112,12.255466,19.710936,20.425776,22.63401,25.394224,25.394224,25.394224,112
113,12.288099,19.763462,20.480165,23.24784,25.461979,25.461979,25.461979,113
114,12.321044,19.816298,20.534866,23.31,26.084822,26.084822,26.084822,114
115,12.35399,19.869133,20.589878,23.928802,26.154753,26.154753,26.154753,115
116,12.386934,19.92228,20.64489,23.992828,26.224682,26.224682,26.224682,116
117,12.419879,19.975428,20.699902,24.056541,26.294613,26.294613,26.294613,117
118,12.453135,20.028885,20.755224,24.120876,26.364853,26.364853,26.364853,118
119,12.48639,20.082031,20.810547,24.185213,26.435095,26.435095,26.435095,119
120,12.519646,20.1358,20.86618,24.249859,26.505646,26.505646,26.505646,120
121,12.553212,20.189568,20.921812,23.674568,25.876898,25.876898,25.876898,121
122,12.571239,20.218782,20.95196,23.708755,25.914194,25.914194,25.914194,122
123,12.589576,20.248,20.982418,23.743256,25.9518,25.9518,25.9518,123
124,12.607602,20.277214,21.012566,23.777443,25.989096,25.989096,25.989096,124
125,12.625939,20.306429,21.043024,23.811941,26.027014,26.027014,26.027014,125
126,12.643966,20.335955,21.073483,23.846441,26.064621,26.064621,26.064621,126
127,12.662303,20.36517,21.103941,23.880629,26.102226,26.102226,26.102226,127
128,12.68064,20.394695,21.1344,23.915127,26.139833,26.139833,26.139833,128
129,12.698977,20.424223,21.164858,23.949627,26.17744,26.17744,26.17744,129
130,12.717315,20.453438,21.195316,23.984125,26.215359,26.215359,26.215359,130
131,12.735652,20.483274,21.226086,24.018934,26.253277,26.253277,26.253277,131
132,12.753989,20.51249,21.256544,24.053434,26.290882,26.290882,26.290882,132
133,12.772326,20.542326,21.287313,24.088243,26.329111,26.329111,26.329111,133
134,12.790974,20.571852,21.318083,24.123053,26.36703,26.36703,26.36703,134
135,12.809311,20.601688,21.348852,24.157862,26.405256,26.405256,26.405256,135
136,12.827648,20.631214,21.379622,24.192673,26.443174,26.443174,26.443174,136
137,12.846296,20.661362,21.410702,24.227793,26.481714,26.481714,26.481714,137
138,12.864944,20.690887,21.441471,24.827015,26.519632,26.519632,26.519632,138
139,12.883593,20.721037,21.472551,24.225306,25.877209,25.877209,25.877209,139
140,12.965333,20.852505,21.60868,24.379152,26.041311,26.041311,26.041311,140
141,13.047695,20.984905,21.746054,24.53393,26.206656,26.206656,26.206656,141
142,13.130367,21.118238,21.88405,24.689642,26.372934,26.372934,26.372934,142
143,13.213662,21.252193,22.022978,24.225306,25.876898,25.876898,25.876898,143
144,13.323064,21.427795,22.205107,24.425772,26.091038,26.091038,26.091038,144
145,13.396413,21.545898,22.32725,24.560038,26.234629,26.234629,26.234629,145
146,13.544353,21.78366,22.573715,24.225306,25.877209,25.877209,25.877209,146
147,13.708456,22.047531,22.84722,24.519012,26.190805,26.190805,26.190805,147
148,13.874423,22.31482,23.124142,24.225306,25.876898,25.876898,25.876898,148
149,14.038836,22.578999,23.397957,24.512175,26.183346,26.183346,26.183346,149
150,14.204803,22.846287,23.67488,24.225306,25.877209,25.877209,25.877209,150
151,14.368906,23.110155,23.948383,24.505337,26.176197,26.176197,26.176197,151
152,14.535184,23.377443,24.225306,24.225306,25.876898,25.876898,25.876898,152
153,14.699596,23.641624,24.49912,24.49912,26.16967,26.16967,26.16967,153
154,14.865564,23.90891,24.776043,24.225616,25.877209,25.877209,25.877209,154
155,14.90659,23.974491,24.844109,24.292128,25.948381,25.948381,25.948381,155
156,14.947616,24.040691,24.912485,24.35895,26.019554,26.019554,26.019554,156
157,14.988641,24.10658,24.980862,24.425772,26.091038,26.091038,26.091038,157
158,15.029666,24.172781,25.049547,24.492905,26.162832,26.162832,26.162832,158
159,15.071003,24.239292,25.118546,25.118546,26.23494,26.23494,26.23494,159
160,15.11265,24.306425,25.187853,25.187853,26.307356,26.307356,26.307356,160
161,15.154297,24.373247,25.257162,25.818466,26.379772,26.379772,26.379772,161
162,15.195945,24.44007,25.326471,25.326471,25.876898,25.876898,25.876898,162
163,15.236659,24.505648,25.394535,25.946516,25.946516,25.946516,25.946516,163
164,15.277685,24.571848,25.462912,26.016447,26.016447,26.016447,26.016447,164
165,15.319021,24.638048,25.531599,26.641775,26.086687,26.086687,26.086687,165
166,15.360046,24.704248,25.600285,26.71326,26.71326,26.71326,26.71326,166
167,15.401694,24.77076,25.669283,27.343252,26.785366,26.785366,26.785366,167
168,15.44303,24.837582,25.738281,27.416912,26.857471,26.857471,26.857471,168
169,15.484677,24.904404,25.807589,27.49057,26.929577,26.929577,26.929577,169
170,15.526325,24.971537,25.877209,26.978373,26.427635,26.427635,26.427635,170
171,15.529433,24.976198,25.882181,26.983656,26.432919,26.432919,26.432919,171
172,15.53223,24.98117,25.887154,26.988628,26.437891,26.437891,26.437891,172
173,15.535338,24.985834,25.892126,26.993912,26.993912,26.993912,26.993912,173
174,15.538446,24.991117,25.89741,26.999506,26.999506,26.999506,26.999506,174
175,15.541554,24.995779,25.902382,27.55584,27.00448,27.00448,27.00448,175
176,15.544352,25.000751,25.907356,27.561123,27.009764,27.009764,27.009764,176
177,15.54746,25.005413,25.912329,27.566406,27.015047,27.015047,27.015047,177
178,15.550568,25.010387,25.917612,27.572,27.020641,27.020641,27.020641,178
179,15.553676,25.01536,25.922585,27.577284,27.025614,27.025614,27.025614,179
180,15.556473,25.020021,25.927557,27.582567,27.582567,27.582567,27.582567,180
181,15.559581,25.024994,25.93253,27.58785,27.58785,27.58785,27.58785,181
182,15.562689,25.029966,25.937815,27.593445,27.593445,27.593445,27.593445,182
183,15.565797,25.03494,25.942787,28.15071,27.59873,27.59873,27.59873,183
184,15.568594,25.039602,25.94776,28.155994,27.604013,27.604013,27.604013,184
185,15.571702,25.044264,25.952732,28.161589,27.609297,27.609297,27.609297,185
186,15.57481,25.049547,25.958015,28.167183,27.614891,27.614891,27.614891,186
187,15.577918,25.054209,25.962988,28.172466,28.172466,28.172466,28.172466,187
188,15.580715,25.059183,25.967962,28.17806,28.17806,28.17806,28.17806,188
189,15.583823,25.064156,25.973246,28.183655,28.183655,28.183655,28.183655,189
