ID,Class,Subclass,Quality,MinLevel,MaxLevel,SkillRequired
3,2,-1,2,1,15,1
4,4,-1,2,1,15,1
5,4,-1,2,16,20,1
6,2,-1,2,16,20,1
7,2,-1,2,21,25,25
8,4,-1,2,21,25,25
9,4,-1,3,1,25,25
10,2,-1,3,1,25,25
11,4,-1,3,26,30,50
12,2,-1,3,26,30,50
13,4,-1,2,26,30,50
14,2,-1,2,26,30,50
15,4,-1,3,31,35,75
16,2,-1,3,31,35,75
17,4,-1,2,31,35,75
18,2,-1,2,31,35,75
19,4,-1,3,36,40,100
20,2,-1,3,36,40,100
21,4,-1,2,36,40,100
22,2,-1,2,36,40,100
23,4,-1,3,41,45,125
24,2,-1,3,41,45,125
25,4,-1,2,41,45,125
26,2,-1,2,41,45,125
27,4,-1,3,46,50,150
28,2,-1,3,46,50,150
29,4,-1,2,46,50,150
30,2,-1,2,46,50,150
31,2,-1,2,51,55,175
32,4,-1,2,51,55,175
34,4,-1,3,51,55,175
35,2,-1,3,51,55,175
38,4,-1,4,41,45,125
39,2,-1,4,41,45,125
40,4,-1,4,46,50,150
41,2,-1,4,46,50,150
42,2,-1,4,51,55,175
43,4,-1,4,51,55,175
44,4,-1,3,56,60,200
45,2,-1,3,56,60,200
46,4,-1,2,56,60,200
47,2,-1,2,56,60,200
48,4,-1,4,56,60,200
49,2,-1,4,56,60,200
50,4,-1,3,61,65,225
51,2,-1,3,61,65,225
52,4,-1,2,61,65,225
53,2,-1,2,61,65,225
54,4,-1,4,61,65,225
55,2,-1,4,61,65,225
56,4,-1,2,66,79,225
57,2,-1,2,66,79,225
58,4,-1,3,66,79,225
59,2,-1,3,66,79,225
60,2,-1,4,66,99,225
61,4,-1,4,66,99,225
62,2,-1,2,100,120,275
63,4,-1,2,100,120,275
64,2,-1,3,100,115,275
65,4,-1,3,100,115,275
66,2,-1,4,90,199,300
67,4,-1,4,90,199,300
68,4,-1,3,80,99,225
69,2,-1,3,80,99,225
70,4,-1,2,80,99,225
71,2,-1,2,80,99,225
72,4,-1,4,1,25,25
73,2,-1,4,1,25,25
74,4,-1,4,26,30,50
75,2,-1,4,26,30,50
76,4,-1,4,31,35,75
77,2,-1,4,31,35,75
78,4,-1,4,36,40,100
79,2,-1,4,36,40,100
80,2,-1,4,200,299,375
81,4,-1,4,200,299,375
82,4,-1,2,121,153,325
83,2,-1,2,121,153,325
84,4,-1,3,116,166,325
85,2,-1,3,116,166,325
86,4,-1,3,167,200,325
87,2,-1,3,167,200,325
88,4,-1,2,154,200,350
89,2,-1,2,154,200,350
94,4,-1,2,201,272,425
95,4,-1,2,273,289,425
96,4,-1,2,290,305,425
97,4,-1,2,306,312,425
98,4,-1,2,313,363,425
99,2,-1,2,201,272,425
100,2,-1,2,273,289,425
101,2,-1,2,290,305,425
102,2,-1,2,306,312,425
103,2,-1,2,313,363,425
104,4,-1,3,201,316,450
105,2,-1,3,201,316,450
106,4,-1,3,317,377,450
107,2,-1,3,317,377,450
108,2,-1,4,300,419,475
109,4,-1,4,300,419,475
129,4,-1,3,378,424,525
130,4,-1,3,425,599,550
131,2,-1,3,378,424,525
132,2,-1,3,425,599,550
134,4,-1,2,364,377,475
135,4,-1,4,420,599,575
136,2,-1,4,420,599,575
137,4,-1,2,378,390,475
138,4,-1,2,391,403,475
139,4,-1,2,404,416,475
140,4,-1,2,417,599,475
141,2,-1,2,364,377,475
142,2,-1,2,378,390,475
143,2,-1,2,391,403,475
144,2,-1,2,404,416,475
145,2,-1,2,417,599,475
156,4,-1,3,600,900,0
157,2,-1,3,600,900,0
158,2,-1,2,600,900,0
159,4,-1,4,600,900,0
160,2,-1,4,600,900,0
161,4,-1,2,600,900,0
