ID,ParentItemID,LegacySlotIndex,SpellID,TriggerType,Charges,CoolDownMSec,SpellCategoryID,CategoryCoolDownMSec
2,17,0,7,0,100,-1,0,-1
3,117,0,433,0,-1,0,11,1000
4,118,0,439,0,-1,0,30,60000
5,159,0,430,0,-1,0,59,1000
6,192,0,7,0,0,-1,0,-1
7,414,0,434,0,-1,0,11,1000
8,422,0,435,0,-1,0,11,1000
9,647,0,17152,2,0,-1,0,-1
10,724,0,5005,0,-1,0,11,1000
11,728,0,483,0,-1,-1,0,-1
12,728,1,2543,6,0,-1,0,-1
13,733,0,435,0,-1,0,11,1000
14,737,0,3591,0,-1,300000,4,60000
15,744,0,12257,0,0,1800000,0,0
16,754,0,13519,2,0,-1,0,-1
17,787,0,433,0,-1,0,11,1000
18,809,0,17504,2,0,-1,0,-1
19,810,0,13439,2,0,-1,0,-1
20,811,0,18104,2,0,-1,0,-1
21,833,1,5707,1,0,-1,0,-1
22,833,2,17712,0,0,1800000,0,0
23,835,0,8312,0,-1,0,24,60000
24,858,0,440,0,-1,0,30,60000
25,867,2,18074,1,0,-1,0,-1
26,869,0,13752,2,0,-1,0,-1
27,870,0,18796,2,0,-1,0,-1
28,871,0,18797,2,0,-1,0,-1
29,875,0,458,0,-1,-1,0,-1
30,880,0,8552,2,0,-1,0,-1
31,899,0,18077,2,0,-1,0,-1
32,929,0,441,0,-1,0,30,60000
33,934,0,13524,2,0,-1,0,-1
34,937,0,144252,2,0,-1,0,-1
35,940,0,18820,0,0,900000,0,0
36,942,1,18799,1,0,-1,0,-1
37,954,0,8118,0,-1,1000,0,-1
38,955,0,8096,0,-1,1000,0,-1
39,961,0,433,0,-1,0,11,1000
40,996,0,133,0,0,-1,0,-1
41,1017,0,5006,0,-1,0,11,1000
42,1082,0,5006,0,-1,0,11,1000
43,1113,0,434,0,-1,0,11,1000
44,1114,0,435,0,-1,0,11,1000
45,1127,0,145727,0,-1,0,24,60000
46,1131,0,7617,1,0,-1,0,-1
47,1132,0,55884,0,-1,-1,330,3000
48,1132,1,580,6,0,0,0,0
53,1165,0,7291,0,-1,0,11,0
54,1168,0,18815,1,0,-1,0,-1
55,1168,1,18816,1,0,-1,0,-1
56,1177,0,54497,0,-1,1000,0,0
57,1178,0,1940,0,-1,0,24,60000
58,1179,0,431,0,-1,0,59,1000
59,1180,0,8099,0,-1,1000,0,-1
60,1181,0,8112,0,-1,1000,0,-1
61,1187,0,8176,0,-1,-1,0,-1
62,1191,0,5917,0,-10,0,24,60000
63,1204,0,18097,1,0,0,0,0
64,1205,0,432,0,-1,0,59,1000
65,1251,0,746,0,-1,0,150,1000
66,1258,0,133,0,0,30000,24,30000
67,1262,0,5257,0,-5,-1,59,1000
68,1263,0,17148,2,0,-1,0,-1
69,1265,0,18208,2,0,-1,0,-1
70,1315,0,18831,0,0,3600000,0,0
71,1318,0,13480,2,0,-1,0,-1
72,1322,0,7396,0,-1,-1,1153,120000
73,1326,0,434,0,-1,-1,11,1000
74,1352,0,4960,0,0,30000,0,0
75,1387,0,144272,2,0,-1,0,-1
76,1399,0,49512,0,-1,0,24,60000
77,1401,0,833,0,-1,0,11,1000
78,1404,0,835,0,0,900000,0,0
79,1434,0,13424,0,-1,0,24,60000
80,1447,0,18826,0,0,1800000,0,0
81,1450,0,806,0,-1,0,4,60000
82,1465,0,19691,1,0,-1,0,-1
83,1477,0,8116,0,-1,1000,0,-1
84,1478,0,8094,0,-1,1000,0,-1
85,1481,0,13440,2,0,-1,0,-1
86,1482,0,144268,2,0,-1,0,-1
87,1487,0,1127,0,-1,0,11,1000
88,1490,0,4070,1,0,-1,0,-1
89,1645,0,1135,0,-1,0,59,1000
90,1707,0,1127,0,-1,0,11,1000
91,1708,0,1133,0,-1,0,59,1000
