AreaName,LocLeft,LocTop,LocRight,LocBottom,Flags,MapID,DisplayMapID,AreaID,DefaultDungeonFloor,ParentWorldMapID,LevelRangeMin,LevelRangeMax,BountySetID,BountyDisplayLocation,ID,VisibilityPlayerConditionID
Durotar,-1962.5,1808.33,-7250,-1716.67,0,1,-1,14,0,13,1,20,0,0,4,0
Mulgore,2204.17,-168.75,-3245.83,-3802.08,0,1,-1,215,0,13,1,20,0,0,9,0
Barrens,202.083,1810.42,-5543.75,-2020.83,0,1,-1,17,0,13,10,60,0,0,11,0
Kalimdor,17066.6,12799.9,-19733.2,-11733.3,0,1,-1,0,0,0,0,0,0,0,13,0
Azeroth,18171.97,11176.344,-22569.21,-15973.344,0,0,-1,0,0,0,0,0,0,0,14,0
Arathi,-1127.08,-141.667,-4604.17,-2460.42,0,0,-1,45,0,14,25,60,0,0,16,0
Badlands,-1902.08,-5854.17,-4972.92,-7900,0,0,-1,3,0,14,40,60,0,0,17,0
BlastedLands,-1193.75,-10583.3,-4856.25,-13025,0,0,-1,4,0,14,40,60,0,0,19,0
Tirisfal,3033.33,3837.5,-1485.42,825,0,0,-1,85,0,14,1,20,0,0,20,0
Silverpine,3450,1666.67,-750,-1133.33,0,0,-1,130,0,14,10,60,0,0,21,0
WesternPlaguelands,416.667,3366.67,-3883.33,500,0,0,-1,28,0,14,35,60,0,0,22,0
EasternPlaguelands,-2287.5,3704.17,-6318.75,1016.67,0,0,-1,139,0,14,40,60,0,0,23,0
HillsbradFoothills,1850,1481.25,-3012.5,-1760.42,0,0,-1,267,0,14,15,60,0,0,24,0
Hinterlands,-1575,1466.67,-5425,-1100,0,0,-1,47,0,14,30,60,0,0,26,0
DunMorogh,2137.5,-3941.67,-2760.42,-7206.25,0,0,-1,1,0,14,1,20,0,0,27,0
SearingGorge,-322.917,-6100,-2554.17,-7587.5,0,0,-1,51,0,14,40,60,0,0,28,0
BurningSteppes,-464.583,-6985.42,-3616.67,-9085.42,0,0,-1,46,0,14,40,60,0,0,29,0
Elwynn,1535.42,-7939.58,-1935.42,-10254.2,0,0,-1,12,0,14,1,20,0,0,30,0
DeadwindPass,-833.3333,-9866.666,-3333.3333,-11533.333,128,0,-1,41,0,14,55,56,0,0,32,0
Duskwood,833.333,-9716.67,-1866.67,-11516.7,0,0,-1,10,0,14,20,60,0,0,34,0
LochModan,-1993.75,-4487.5,-4752.08,-6327.08,0,0,-1,38,0,14,10,60,0,0,35,0
Redridge,-1479.17,-8514.58,-4047.92,-10227.1,0,0,-1,44,0,14,15,60,0,0,36,0
StranglethornJungle,1743.75,-11016.7,-2356.25,-13750,0,0,-1,33,0,14,25,60,0,0,37,0
SwampOfSorrows,-2081.25,-9535.42,-4589.58,-11208.3,0,0,-1,8,0,14,40,60,0,0,38,0
Westfall,3016.67,-9400,-483.333,-11733.3,0,0,-1,40,0,14,10,60,0,0,39,0
Wetlands,-389.583,-2147.92,-4525,-4904.17,0,0,-1,11,0,14,20,60,0,0,40,0
Teldrassil,4235.42,11847.9,-1639.58,7931.25,0,1,-1,141,0,13,1,20,0,0,41,0
Darkshore,3016.67,8222.92,-3447.92,3912.5,0,1,-1,148,0,13,10,60,0,0,42,0
Ashenvale,1700,4672.92,-4066.67,829.167,0,1,-1,331,0,13,15,60,0,0,43,0
ThousandNeedles,-433.333,-3966.67,-4833.33,-6900,0,1,-1,400,0,13,40,60,0,0,61,0
StonetalonMountains,3902.08,3404.17,-1997.92,-529.167,0,1,-1,406,0,13,20,60,0,0,81,0
Desolace,4233.33,452.083,-262.5,-2545.83,0,1,-1,405,0,13,30,60,0,0,101,0
Feralas,5441.67,-2366.67,-1508.33,-7000,0,1,-1,357,0,13,35,60,0,0,121,0
Dustwallow,-975,-2033.33,-6225,-5533.33,0,1,-1,15,0,13,35,60,0,0,141,0
Tanaris,-62.5,-5770.83,-7275,-10579.2,0,1,-1,440,0,13,40,60,0,0,161,0
Aszhara,-3372.92,5381.25,-8887.5,1704.17,0,1,-1,16,0,13,10,60,0,0,181,0
Felwood,1797.92,7237.5,-4264.58,3195.83,0,1,-1,361,0,13,40,60,0,0,182,0
UngoroCrater,533.333,-5966.67,-3166.67,-8433.33,0,1,-1,490,0,13,40,60,0,0,201,0
Moonglade,-1381.25,8491.67,-3689.58,6952.08,0,1,-1,493,0,13,0,0,0,0,241,0
Silithus,2983.33,-5872.92,-1075,-8579.17,0,1,-1,1377,0,13,40,60,0,0,261,0
Winterspring,-991.667,8793.75,-7141.67,4693.75,0,1,-1,618,0,13,40,60,0,0,281,0
